title,address1,address2,city,state,zipcode,website,phone,tags,latitude,longitude
Nauti Pearl,18 STATE ST,,NEWBURYPORT,MA,1950,https://nautipearl.com/,978-572-1518,,42.810757,-70.870047
BK & Co,983 FARMINGTON AVE,,WEST HARTFORD,CT,6107,https://bkcostyle.com/,860-232-6225,,41.761038,-72.744487
Chou Chou,165-C ROWAYTON AVE,,ROWAYTON, CT,6853,,203-853-2726,,41.068062,-73.443738
The 3 Graces,122 MAIN ST.,,LUDLOW,VT,5149,,203-240-1201,,43.395934,-72.698553
Sorellina Boutique,25 ORCHARD VIEW DR,,LONDONDERRY,NH,3053,,603-818-8015,,42.857662,-71.356102
THREE LITTLE BIRDS,131 W CHOCOLATE AVENUE, SUITE 120,HERSHEY,PA,17003,https://tlbboutique.com/,,,40.28429,-76.654121
THE PRETTY PINK ROOSTER,100 BERKELEY CIRCLE,,BASKING RIDGE,,,,908-955-8484,,40.700651,-74.566599
FASHION RESCUE 911,8239 DAMPIER CR,,LIVERPOOL,NY,13090,,315-247-0730,,43.170313,-76.235249
THE BIRD CAGE BOUTIQUE,4706 B STARKEY RD,,ROANOKE,VA,24018,,540-556-2421,,37.250349,-80.05251
LEMON CABANA,319 LASKIN RD.,,VIRGINA BEACH,VA,23451,,757-417-7375,,36.85877,-75.980222
EL'LAY,11626 N DALE MABRY HWY,,TAMPA,FL,33618,,757-417-7375,,28.054425,-82.504816
BACKCOUNTRY BOUTIQUE,1000 N 2ND ST,SUITE 101,MCCALL, ID,83638,,907-388-2154,,44.906954,-116.099101
BOARDWALK BOUTIQUE,210 E. SHERMAN AVE., STE# 111,COEUR D ALENE,ID,83814,,208-667-4665,,47.673153,-116.783321
LULU'S BOUTIQUE,150 NW MINNESOTA AVE,,BEND,OR,97703,,541-617-8948,,44.058422,-121.31363
VILLAGE THREADS,57100 BEAVER DR,BUILDING 21 #130,SUNRIVER,OR ,97707,,,,43.87364,-121.436494
TIDES OF ANACORTES,804 COMMERCIAL AVE,,ANACORTES,WA,98221,,360-929-9255,,48.515604,-122.613063
BELLES & BEAUS,,,,,,,,,0,0
CRICKET CLOTHING CO.,2814 2ND AVE. N,,BILLINGS,MT,59101,,406-259-3624,,45.78236,-108.507068
EMAGINARY,255 GOLD RIVERS CT ,#160,BASALT,CO,81621,,970-927-9645,,39.367794,-107.034817
JONAH & SAGE,240 EAST MAIN STREET,,BOZEMAN,MT,59715,,406-404-1199,,45.679037,-111.032852
NEECEES,1027 SHILOH CROSSING BLVD,SUITE 1,BILLINGS,MT,59102,,,,45.749998,-108.613524
SOLE MATES,211 S GILLETTE AVE,,GILLETTE,WY,82716,,307-689-9485,,44.29274,-105.503803
STEAMBOAT DRY GOODS,136 STEWART LOOP,,BOZEMAN,MT,59718,,406-525-3288,,45.723449,-111.186226
WATER FROM THE MOON,118 SOUTH 500 WEST,,HEBER,UT,84032,,435-654-2267,,40.506178,-111.422359
WHAT TO WEAR ROCKY MOUNTAIN,2714 NORTH GATE BLVD,,COLORADO SPRINGS,CO,80921,,719-488-5980,,39.029559,-104.780005
CLOTH & STONE BOUTIQUE,1625 DARBY DRIVE,,FLORENCE,AL,35630,,,,34.820296,-87.656596
HOUSE TO HOME CREATIONS,4746 HANSEN ROAD,,PADUCAH,KY,42001,,270-594-5904,,37.066126,-88.693215
MAM'SELLE,1348 UNION UNIVERSITY DRIVE,SUITE A,JACKSON,TN,38305,,731-668-2420,,35.684396,-88.862794
OLIVE YOU BOUTIQUE,118 MERIDIAN WAY SUITE I,,RICHMOND,KY,40475,,859-625-1328,,37.734676,-84.335281
SERENDIPITY BTQ,3124 HEIGHTS VILLAGE,,VESTAVIA,AL,35243,,205-970-2398,,33.445932,-86.750203
The French shoppe,6049 HIGHWAY 100,,Nashville, TN,37205,,,,36.097915,-86.872351
ALLIE HARPER,50 AVIATOR PLAZA,UNIT 104,ST. SIMONS ISLAND,GA,31522,,251-709-8382,,31.154957,-81.385622
ARROW TREE BOUTIQUE,415-A BROOKS STREET,,WAKE FOREST,NC,27587,,984-235-0447,,35.974196,-78.508761
BELLA COTN,236 HWY. 107 N.,,CASHIERS ,NC,28717,,828-743-9593,,35.115862,-83.103141
CLASSIC-COUTURE,109 E. RUTHERFORD ST.,,LANDRUM,SC,29356,,,,35.175314,-82.188178
FRESH PRODUCE,1 NORTH FOREST BEACH RD,SUITE A6,HILTON HEAD ISLAND,SC,29926,,843-842-3410,,32.143616,-80.749827
HIGH COUNTRY STYLE,121 N. MAIN ST,,WAYNESVILLE,NC,28786,,828-452-3611,,35.491363,-82.987408
THE MARKET PLACE,120 E. MEADOW STREET,,VIDALIA,GA,30474,,912-293-3512,,32.218018,-82.412103
PINK STABLE,1032 BROAD ST,,CAMDEN,SC,29020,,,,34.245247,-80.606814
SIMPLY STERLING & CO,5275 ROBINHOOD VILLAGE DR.,,WINSTON SALEM,NC,27106,,336-896-0077,,36.122577,-80.366899
STYLE FINDER,4421 SIX FORKS RD., SUITE #104,RALEIGH,NC,27609,,,,35.840181,-78.643502
ALEXANDRITE ACTIVE & GOLF WEAR,78100 MAIN ST,SUITE 103,LA QUINTA,CA,92253,,760-625-1364,,33.677866,-116.302083
AMBIANCE GALLERY,262 MAIN STREET,,PLACERVILLE,CA,95667,,831-588-3247,,38.728014,-120.803168
BLONDIES,155 EL CAMINO REAL,,TUSTIN,CA,92780,,714-838-0331,,33.744854,-117.823282
BLOOM AT AMBIANCE,6608 FOLSOM AUBURN RD ,#8,FOLSOM,CA,95630,,916-936-4471,,38.68625,-121.178475
BE BOUTIQUE,1501 INDIA ST,#120,SAN DIEGO,CA,92101,,,,32.721425,-117.167989
CAMBRIC LTD,197 2ND ST,,LOS ALTOS,CA,94022,,650-941-2106,,37.378462,-122.116586
DEASEE'S BOUTIQUE,115 WEST OCEAN AVE,,LOMPOC,CA,93436,,805-430-8396,,34.639177,-120.458338
ESSENZA BOUTIQUE,8711 E PINNACLE PEAK ROAD ,PMB 193,SCOTTSDALE,AZ,85255,,480-563-9963,,33.69789,-111.892772
FOR ELYSE,228 BROADWAY ST,,CHICO,CA,95928,,530-893-0106,,39.729244,-121.841084
DAISIES,1347 PARK ST,,ALAMEDA,CA,94501,,510-522-6443,,37.763754,-122.243429
KISMET BOUTQUE,100 N SANTA CRUZL AVE ,STE #A,LOS GATOS,CA,95030,,408-395-4664,,37.22439,-121.982705
POPPY - SOPHIA BOUTIQUE,911 EMBARCADERO,,MORRO BAY,CA,93442,,805-771-9750,,35.367126,-120.853898
TRE BOUTIQUE,2690 VIA DE LA VALLE ,SUITE D240,DEL MAR,CA,92014,,858-755-0511,,32.981202,-117.25043
UNIQUE BOUTIQUE FOR U,34 MAIN STREET,,SUTTER CREEK,CA,95685,,209-267-1806,,38.392828,-120.802574
6TH & BROADWAY,528 BROADWAY ST,,ALEXANDRIA,MN,56308,,,,45.886075,-95.377897
AMORE & FEDE,226 WATER ST, ,EXCEISIOR,MN,55331,,952-401-3392,,44.903217,-93.566898
BACKWARDS BOUTIQUE,16830 K TRL, ,PERRY,IA,50220,,515-371-2530,,41.797347,-94.09749
BLACKSMITH CLOTHING CO.,7806 HORSESHOE BAY RD, ,EGG HARBOR,WI,54209,,920-868-3216,,45.048786,-87.280452
CHRISTOPHER'S BOUTIQUE,121 S COURT ST., ,CIRCLEVILLE,OH,43113,,740-474-7916,,39.601235,-82.945624
FABTIQUE,1657 WEST LANE AVE, ,COLUMBUS,OH,43221,,614-754-8472,,40.006759,-83.054638
FAYE'S,18900 W BLUEMOUND RD, ,BROOKFIELD,WI,53045,,262-241-8386,,43.037862,-88.148212
JB AND ME,36 W. 8TH ST,FLOOR 2 SUITE 100,HOLLAND,MI,49423,,616-392-8902,,42.790157,-86.108507
JEANS AND CUTE TOP,5116 MAIN ST, ,DOWNERS GROVE,IL,60515,,630-715-9372,,41.794341,-88.010735
LILLIANS OF APPLETON,115 E COLLEGE AVE, ,APPLETON,WI,54911,,920-277-5719,,44.261634,-88.405217
LIZZY'S BOUTIQUE,119 S RAILROAD ST, ,EAGLE RIVER,WI,54521,,,,45.91594,-89.252034
MAIN STREET BOUTIQUE,201 MAIN AVE, ,RUGBY,ND,58368,,701-412-1033,,48.368544,-99.996106
NORTHERN ROOTS BOUTIQUE,2550 S. COLUMBIA RD.,SUITE H,GRAND FORKS,ND,58201,,701-757-4277,,47.894767,-97.067933
PURPLE POPPY,5800 MERLE HAY RD,SUITE #5,JOHNSTON,IA,50131,,515-975-4833,,41.666295,-93.698984
