title,address1,address2,city,state,zipcode,country,website,phone,tags,latitude,longitude
100 MAIN,100 NORTH MAIN AVENUE,,FALLBROOK,CA,92028,USA,,,,33.382211,-117.251637
108 LIFESTYLE & SPORTING GOODS,136 ONTARIO AVENUE,,ELLIOT LAKE,ON,P5A 1Y3,CANADA,,,,46.384993,-82.648566
3 DAUGHTERS BOUTIQUE,311 N. 8TH ST.,#102,LINCOLN,NE,68508,USA,,,,40.816178,-96.710229
3 GRACES,118 MAIN ST,,LUDLOW,VT,5149,USA,,,,43.395939,-72.698367
3 GRACES BOUTIQUE,261 COMMERCIAL ST.,,PROVINCETOWN,MA,2657,USA,,,,42.050791,-70.187247
406 SPORTSWEAR LTD.,406 VICTORIA ST,,KAMLOOPS,BC,V2C 2A7,CANADA,,,,50.676014,-120.331528
42 SAINT,5410 EAST HIGH STREET,SUITE 109,PHOENIX,AZ,85054,USA,,,,33.675699,-111.965903
6TH & BROADWAY,528 BROADWAY ST,,ALEXANDRIA,MN,56308,USA,,,,45.886075,-95.377897
838 BOUTIQUE,838 MIDDLE RD.,,BETTENDORF,IA,52722,USA,,,,41.539788,-90.522074
A DASH OF FAB,128 JOHN STREET NORTH,,ARNPRIOR,ON,K7S 2N6,CANADA,,,,45.434274,-76.354115
A FLAIR FOR GIFTS & HOME,15135 SW BARROWS RD. ,#141,BEAVERTON,OR,97007,USA,,503-524-6616,,45.430323,-122.83075
A GILDED NEST BOUTIQUE,450 GRANITE AVE,,MILTON,MA,2186,USA,,,,42.256277,-71.039713
A NEW LEAF,261 CABOT STREET,,BEVERLY,MA,1915,USA,,,,42.550198,-70.877678
A-LIST,322 N. PINE ST.,SUITE 101,GRAND ISLAND,NE,68801,USA,,,,40.926376,-98.340406
A.J. & MOS,1205 BROADWAY,,HEWLETT,NY,11557,USA,,516-812-9400,,40.636688,-73.702504
ABUNDANCE,13606 VENTURA BLVD,,SHERMAN OAKS,CA,91423,USA,,,,34.147609,-118.42975
ACCESSORIZE YOURSELF,967 CENTRAL AVE,,GREENWOOD,NS,B0N 1N0,CANADA,,,,44.967987,-64.927665
ACQUISTI LIFE,515 MCNEELY AVE,UNIT 2,CARLETON PLACE,ON,K7C 0A8,CANADA,,,,45.130912,-76.11827
ADORNMENTS,2826 E THIRD AVENUE,,DENVER,CO,80206,USA,,303-321-7992,,39.720755,-104.953874
AJ + MOS,1205 BROADWAY,,HEWLET,NY,11557,USA,,,,40.636688,-73.702504
ALAIR GIFT SHOP,3270 CALIFORNIA AVENUE SW,,SEATTLE,WA,98116,USA,,,,47.573682,-122.386504
ALEXANDRITE ACTIVE & GOLF WEAR,78100 MAIN ST,SUITE 103,LA QUINTA,CA,92253,USA,,760-625-1364,,33.677866,-116.302083
ALICE BLUE BOUTIQUE,10 SCHOOL ST,,PETERBOROUGH,NH,3458,USA,,603-924-6520,,42.87668,-71.94975
ALL INSPIRED BOUTIQUE,50 CANTON ST. ,SUITE 104,ALPHARETTA,GA,30009,USA,,678-381-1456,,34.076276,-84.296996
ALL INSPIRED BOUTIQUE,5950 STATE BRIDGE RD. ,SUITE 140A,JOHNS CREEK,GA,30097,USA,,404-505-2172,,34.014905,-84.188839
ALL INSPIRED BOUTIQUE,362 COLLEGE AVENUE,,CLEMSON,SC,29631,USA,,864-650-2370,,34.682926,-82.837073
ALLIE HARPER,50 AVIATOR PLAZA,UNIT 104,ST. SIMONS ISLAND,GA,31522,USA,,251-709-8382,,31.154957,-81.385622
AMBIANCE GALLERY,262 MAIN STREET,,PLACERVILLE,CA,95667,USA,,831-588-3247,,38.728014,-120.803168
AMBIANCE SF,1858 UNION ST,,SAN FRANCISCO,CA,94123,USA,,,,37.798087,-122.429898
AMELIA'S APPAREL AND ACCESSORIES,172 S. MAIN ST.,,MADISON,GA,30650,USA,,706-474-3249,,33.595108,-83.468192
AMORE & FEDE,226 WATER ST, ,EXCEISIOR,MN,55331,USA,,952-401-3392,,44.903217,-93.566898
AMY JANE'S ON SOUTH MILL,218 SOUTH MILL AVE,,DYERSBURG,TN,38024,USA,,,,36.031836,-89.386874
ANDY THORNAL COMPANY,336 MAGNOLIA AVE,,WINTER HAVEN,FL,33880,USA,,863-299-9999,,28.020619,-81.730809
ANN + SOFIA BOUTIQUE,1812 RUE DES CASCADES O,,ST-HYACINTHE,QC,J2S 3J3,CANADA,,,,45.623706,-72.947385
ANN D'S BOUTIQUE,264 N.MAIN ST.,,WEST BEND,WI,53095,USA,,262-707-4786,,43.425893,-88.18414
ANNIE & STELLA,401 BOUL. LABELLE,#13,ROSEMERE,QC,J7A 3T2,CANADA,,,,45.632674,-73.816878
ANOKA CLOTHING COMPANY,112 E MAIN ST,,ANOKA,MN,55303,USA,,763-421-2222,,45.19763,-93.389901
ANONYMOUS LA,5018 MELROSE AVE,,LOS ANGELES,CA,90038,USA,,,,34.083364,-118.309815
ARIA BOUTIQUE,45 MILL STREET ,UNIT 8,ELORA,ON,N0B 1S0,CANADA,,,,43.796268,-80.141043
ARROW TREE BOUTIQUE,415-A BROOKS STREET,,WAKE FOREST,NC,27587,USA,,984-235-0447,,35.974196,-78.508761
ASPEN BOUTIQUE,4724 E. DOUGLAS AVE,,WICHITA,KS,67208,USA,,,,37.686921,-97.281074
AT HOME ON MAIN,115 N. MAIN STREET,,DICKSON,TN,37055,USA,,615-521-4463,,36.076004,-87.388344
AU BON GOÛT,94 RUE SAINT-GERMAIN OUEST,,RIMOUSKI,QC,G5L 4B5,CANADA,,,,48.449698,-68.532381
AVA ROSE BOUTIQUE,431 N OLYMPIC AVE,,ARLINGTON,WA,98223,USA,,360-722-1952,,48.196898,-122.126208
AVAGRACE,926 HOPMEADOW ST,,SIMSBURY,CT,6070,USA,,860-658-4400,,41.880779,-72.799798
