title,address1,address2,city,state,zipcode,website,phone,tags,latitude,longitude
D'ELS BOUTIQUE,18 BALBOA STREET,,MAYAQUEZ,PR,680,,,,18.181938,-67.133802
SCANDIHOOVIANS,49 BOLTWOOD WALK,,AMHERST,MA,1002,,,,42.376476,-72.519309
"IT'S ALL ABOUT ME INC. (HAMPDEN, MA)",2 SOMERS RD.,,HAMPDEN,MA,1036,,,,42.05809,-72.441416
THE ARTISAN GALLERY,162 MAIN ST.,,NORTHAMPTON,MA,1060,,,,42.318188,-72.631004
SOLO FLIGHT INC. DBA:CASABLANCA,170 COLT ROAD,,PITTSFIELD,MA,1201,,,,42.439728,-73.251504
CAWING CROW DBA:GB9,9 RAILROAD ST.,,GREAT BARRINGTON,MA,1230,,,,42.194511,-73.363105
BYZANTIUM,32 RAILROAD ST,,GREAT BARRINGTON,MA,1230,,,,42.195027,-73.363305
EVIVA,22 WALKER ST,,LENOX,MA,1240,,,,42.356244,-73.284247
PURPLE PLUME (LENCY),35 CHURCH ST,,LENOX,MA,1240,,,,42.357617,-73.283367
MAINSTREAM BOUTIQUE (NORTHBOROUGH),290 WEST MAIN ST SUITE#3,,NORTHBOROUGH,,1532,,,,42.30786,-71.658803
IKES DEN INC,284 BOSTON TURNPIKE,,SHREWSBURY,MA,1545,,,,42.275336,-71.738621
SANDRA ANN'S BOUTIQUE,284 BOSTON TURNPIKE,,SHREWSBURY,MA,1545,,,,42.275336,-71.738621
ELEMENTS AT THE CIRCLE,10 EAST MAIN STREET,,WESTBOROUGH,MA,1581,,,,42.270155,-71.612922
FRENCH TWIST BOUTIQUE,1098 PLEASANT ST,,WORCESTER,MA,1602,,,,42.277944,-71.851908
GOULDS OF ACTON,260 GREAT ROAD,,ACTON,MA,1720,,,,42.494693,-71.417682
GULBANKIAN FLORIST,40 MT VICKERY RD.,,SOUTHBORO,MA,1772,,,,42.286361,-71.524519
SELECTIONS,435 BOSTON POST ROAD #7,,SUDBURY,MA,1776,,,,42.359686,-71.420917
IZZY'S BOUTIQUE INC.,21 BARNARD ST,,ANDOVER,MA,1810,,,,42.656173,-71.139111
GIOVANNI CAPATO,61 WINGATE STREET,,HAVERHILL,MA,1832,,,,42.773747,-71.085254
AINES BOUTIQUE,662 MAIN STREET,,READING,MA,1867,,,,42.524779,-71.10321
RADA BOUTIQUE,394 MAIN STREET,,WAKEFIELD,MA,1880,,,,42.503478,-71.070052
SoleAmour,17 Thompson Street,,Winchester,MA,1890,,,,42.45218,-71.136999
RECESS,41 CHURCH ST,,WINCHESTER,MA,1890,,,,42.451514,-71.139247
INFINITY BOUTIQUE,427 PARADISE ROAD,,SWAMPSCOTT,MA,1907,,,,42.48114,-70.901564
PARKE PLACE BOUTIQUE,42 MAIN STREET,,AMESBURY,MA,1913,,,,42.857026,-70.930727
POP GALLERY,67 MAIN ST.,,GLOUCESTER,MA,1930,,,,42.612307,-70.66485
NORTH COAST TOO,40 UNION ST,,MANCHESTER,MA,1944,,,,42.575284,-70.770041
IRRESISTIBLES,7 HAWKES STREET,,MARBLEHEAD,MA,1945,,,,42.500204,-70.856435
SMITTEN,23 INN STREET,,NEWBURYPORT,MA,1950,,,,42.810519,-70.870391
STUFF,25 LIME STREET,,NEWBURYPORT,ME,1950,,,,42.808479,-70.863675
ULTIMATE,168 NEWBURY ST,,PEABODY,MA,1960,,,,42.540549,-70.987563
FOUR CHIMNEYS BY THE SEA,25 DOCK SQUARE,,ROCKPORT,MA,1966,,,,42.658738,-70.617343
WILLOUGHBYS (FOUR OF WANDS INC),20F MAIN STREET,,ROCKPORT,MA,1966,,,,42.65816,-70.618631
PINK TULIP,15 DEPOT CT,,COHASSET,MA,2025,,,,42.240942,-70.803134
