title,address1,address2,city,state,zipcode,website,phone,tags,latitude,longitude,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Nauti Pearl","18 STATE ST",,NEWBURYPORT,MA,1950,https://nautipearl.com/,978-572-1518,,,,42.810757,-70.870047,1,rooftop,18,"State St",,,Newburyport,MA,"Essex County",01950,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
"BK & Co","983 FARMINGTON AVE",,"WEST HARTFORD",CT,6107,https://bkcostyle.com/,860-232-6225,,,,41.761038,-72.744487,1,range_interpolation,983,"Farmington Ave",,,"West Hartford",CT,"Hartford County",06107,US,"TIGER/Line® dataset from the US Census Bureau"
"Chou Chou","165-C ROWAYTON AVE",,ROWAYTON," CT",6853,,203-853-2726,,,,41.068062,-73.443738,1,range_interpolation,165,"Rowayton Ave",,,Norwalk,CT,"Fairfield County",06853,US,"TIGER/Line® dataset from the US Census Bureau"
"The 3 Graces","122 MAIN ST.",,LUDLOW,VT,5149,,203-240-1201,,,,43.395934,-72.698553,1,rooftop,122,"Main St",,,Ludlow,VT,"Windsor County",05149,US,Statewide
"Sorellina Boutique","25 ORCHARD VIEW DR",,LONDONDERRY,NH,3053,,603-818-8015,,,,42.857662,-71.356102,1,rooftop,25,"Orchard View Dr",,,Londonderry,NH,"Rockingham County",03053,US,Statewide
"THREE LITTLE BIRDS","131 W CHOCOLATE AVENUE"," SUITE 120",HERSHEY,PA,17003,https://tlbboutique.com/,,,,,40.28429,-76.654121,0.95,range_interpolation,131,"W Chocolate Ave",,,Hershey,PA,"Dauphin County",17033,US,"TIGER/Line® dataset from the US Census Bureau"
"THE PRETTY PINK ROOSTER","100 BERKELEY CIRCLE",,"BASKING RIDGE",,,,908-955-8484,,,,40.700651,-74.566599,1,rooftop,100,"Berkeley Cir",,,"Basking Ridge",NJ,"Somerset County",07920,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"FASHION RESCUE 911","8239 DAMPIER CR",,LIVERPOOL,NY,13090,,315-247-0730,,,,43.170313,-76.235249,1,rooftop,8239,"Dampier Cir",,,Liverpool,NY,"Onondaga County",13090,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
"THE BIRD CAGE BOUTIQUE","4706 B STARKEY RD",,ROANOKE,VA,24018,,540-556-2421,,,,37.250349,-80.05251,0.33,place,,,,,Roanoke,VA,"Roanoke County",24018,US,"TIGER/Line® dataset from the US Census Bureau"
"LEMON CABANA","319 LASKIN RD.",,"VIRGINA BEACH",VA,23451,,757-417-7375,,,,36.85877,-75.980222,1,rooftop,319,"Laskin Rd",,,"Virginia Beach",VA,"Virginia Beach city",23451,US,"Virginia Beach"
EL'LAY,"11626 N DALE MABRY HWY",,TAMPA,FL,33618,,757-417-7375,,,,28.054425,-82.504816,1,rooftop,11626,"N Dale Mabry Hwy",,,Tampa,FL,"Hillsborough County",33618,US,Hillsborough
"BACKCOUNTRY BOUTIQUE","1000 N 2ND ST","SUITE 101",MCCALL," ID",83638,,907-388-2154,,,,44.906954,-116.099101,0.6,street_center,,"2nd St",,,McCall,ID,"Valley County",83638,US,"TIGER/Line® dataset from the US Census Bureau"
"BOARDWALK BOUTIQUE","210 E. SHERMAN AVE."," STE# 111","COEUR D ALENE",ID,83814,,208-667-4665,,,,47.673153,-116.783321,1,rooftop,210,"E Sherman Ave",,,"Coeur D Alene",ID,"Kootenai County",83814,US,Kootenai
