title,address1,address2,city,state,zipcode,website,phone,tags,latitude,longitude
D'ELS BOUTIQUE,18 BALBOA STREET,,MAYAQUEZ,PR,680,,,,18.21,-67.14
FANCY CLOSET PUERTO RICO,2599 AVE HOSTOS SUITE 8,,MAYAGUEZ,PR,682,,,,0,0
SCANDIHOOVIANS,49 BOLTWOOD WALK,,AMHERST,MA,1002,,,,42.376487,-72.519065
"IT'S ALL ABOUT ME INC. (HAMPDEN, MA)",2 SOMERS RD.,,HAMPDEN,MA,1036,,,,42.057522,-72.442659
THE ARTISAN GALLERY,162 MAIN ST.,,NORTHAMPTON,MA,1060,,,,42.318343,-72.631049
SOLO FLIGHT INC. DBA:CASABLANCA,170 COLT ROAD,,PITTSFIELD,MA,1201,,,,42.440033,-73.25232
CAWING CROW DBA:GB9,9 RAILROAD ST.,,GREAT BARRINGTON,MA,1230,,,,42.194414,-73.362662
BYZANTIUM,32 RAILROAD ST,,GREAT BARRINGTON,MA,1230,,,,42.194783,-73.363283
EVIVA,22 WALKER ST,,LENOX,MA,1240,,,,42.356244,-73.284247
PURPLE PLUME (LENCY),35 CHURCH ST,,LENOX,MA,1240,,,,42.357617,-73.283367
MAINSTREAM BOUTIQUE (NORTHBOROUGH),290 WEST MAIN ST SUITE#3,,NORTHBOROUGH,,1532,,,,42.307881,-71.658602
IKES DEN INC,284 BOSTON TURNPIKE,,SHREWSBURY,MA,1545,,,,42.275319,-71.738627
SANDRA ANN'S BOUTIQUE,284 BOSTON TURNPIKE,,SHREWSBURY,MA,1545,,,,42.275319,-71.738627
ELEMENTS AT THE CIRCLE,10 EAST MAIN STREET,,WESTBOROUGH,MA,1581,,,,42.270453,-71.612529
FRENCH TWIST BOUTIQUE,1098 PLEASANT ST,,WORCESTER,MA,1602,,,,42.277877,-71.851961
GOULDS OF ACTON,260 GREAT ROAD,,ACTON,MA,1720,,,,42.494693,-71.417682
GULBANKIAN FLORIST,40 MT VICKERY RD.,,SOUTHBORO,MA,1772,,,,42.286361,-71.524519
SELECTIONS,435 BOSTON POST ROAD #7,,SUDBURY,MA,1776,,,,42.359866,-71.421259
IZZY'S BOUTIQUE INC.,21 BARNARD ST,,ANDOVER,MA,1810,,,,42.656107,-71.139173
GIOVANNI CAPATO,61 WINGATE STREET,,HAVERHILL,MA,1832,,,,42.773747,-71.085254
AINES BOUTIQUE,662 MAIN STREET,,READING,MA,1867,,,,42.524693,-71.10258
RADA BOUTIQUE,394 MAIN STREET,,WAKEFIELD,MA,1880,,,,42.503478,-71.070052
SoleAmour,17 Thompson Street,,Winchester,MA,1890,,,,42.451988,-71.137175
RECESS,41 CHURCH ST,,WINCHESTER,MA,1890,,,,42.451514,-71.139247
INFINITY BOUTIQUE,427 PARADISE ROAD,,SWAMPSCOTT,MA,1907,,,,42.4816,-70.902639
PARKE PLACE BOUTIQUE,42 MAIN STREET,,AMESBURY,MA,1913,,,,42.857291,-70.930846
POP GALLERY,67 MAIN ST.,,GLOUCESTER,MA,1930,,,,42.612307,-70.66485
NORTH COAST TOO,40 UNION ST,,MANCHESTER,MA,1944,,,,42.575373,-70.770088
IRRESISTIBLES,7 HAWKES STREET,,MARBLEHEAD,MA,1945,,,,42.500204,-70.856435
ROCAS BOUTIQUE,1 MERRITMAC ST. UNIT 8,,NEWBURYPORT,MA,1950,,,,0,0
SMITTEN,23 INN STREET,,NEWBURYPORT,MA,1950,,,,42.810519,-70.870391
STUFF,25 LIME STREET,,NEWBURYPORT,ME,1950,,,,42.808479,-70.863675
ULTIMATE,168 NEWBURY ST,,PEABODY,MA,1960,,,,42.540384,-70.987571
FOUR CHIMNEYS BY THE SEA,25 DOCK SQUARE,,ROCKPORT,MA,1966,,,,42.658806,-70.617383
WILLOUGHBYS (FOUR OF WANDS INC),20F MAIN STREET,,ROCKPORT,MA,1966,,,,42.65816,-70.618631
STYLE HQ PTY LTD,"UNIT 11, 30-32 BEACONSFIELD STREET",,ALEXANDRIA,,2015,,,,1.3,103.77
PINK TULIP,15 DEPOT CT,,COHASSET,MA,2025,,,,42.240913,-70.80309
FIESTA GIFTS DBA BUTTEFLYTREE(,505 MAIN STREET,,MEDFIELD,MA,2052,,,,42.186469,-71.30663
FINE FEATHER,74 MAIN ST,,MEDWAY,MA,2053,,,,42.15205,-71.413126
BOLINE BOUTIQUE INC,426 WASHINGTON ST.,,NORWELL,MA,2061,,,,42.159572,-70.855801
FRAN'S FASHIONS,48 WILLIAMS RD.,,SHARON,MA,2067,,,,42.106029,-71.136181
THE LUXURY LEG WEAR,106 SOUTH MAIN ST.,,SHARON,MA,2067,,,,42.119724,-71.18101
SEA STORES INC/ALIKAT,1 SOUTH MARKET BUILDING,,BOSTON,MA,2109,,,,42.352113,-71.05714
BETSY JENNEY,114 NEWBURY ST.,,BOSTON,MA,2116,,,,42.351167,-71.075921
CAMBRIDGE SELECT INC.,"50 TERMINAL ST, STE 514",,CHARLESTOWN,MA,2129,,,,42.382377,-71.060811
SUSANNA,1776 MASSACHUSETTS AVENUE,,CAMBRIDGE,MA,2140,,,,42.39,-71.12
CARYN'S CORNER,695 ADAMS ST,,QUINCY,MA,2169,,,,42.25,-71
MILTONS INC. THE STORE FOR MEN,"250 GRANITE ST., STE 208",,BRAINTREE,MA,2184,,,,42.218614,-71.024023
ADH ENT. INC DBA: DENISE HAJJAR BOUTIQUE,510 ATLANTIC AVE. STE A,,BOSTON,MA,2210,,,,42.354227,-71.052015
B I DEACONESS GIFT SHOP,1 DEACONESS ROAD,,BOSTON,MA,2215,,,,42.337817,-71.109081
PORT CARGO,2071 WASHINGTON ST,,HANOVER,MA,2339,,,,42.157023,-70.849125
POSH,285 WASHINGTON ST,,N. EASTON,MA,2356,,,,42.06736,-71.088633
COLLECTIONS ON COURT,2 COURT STREET,,PLYMOUTH,MA,2360,,,,41.956999,-70.665531
"THE STUDIO (BROOKLINE, MA)",233 HARVARD ST,,BROOKLINE,MA,2446,,,,42.340805,-71.120702
SHOE HORN INC.,317 WALNUT ST.,,NEWTONVILLE,MA,2460,,,,42.350043,-71.207162
SHARON FASHION,32 LINCOLN ST,,NEWTON,MA,2461,,,,42.321388,-71.20725
W.O.W. INC.,14 NEEDHAM ST,,NEWTON,MA,2461,,,,42.316093,-71.209414
ARTWEAR,185 MASSACHUSETTS AVE.,,ARLINGTON,MA,2474,,,,42.405822,-71.141965
THIRTY PETALS,34 LEONARD ST,,BELMONT,MA,2478,,,,42.397144,-71.175899
CHATFIELD TAYLOR,120 CHURCH ST,,WESTON,MA,2493,,,,42.375911,-71.28839
LOLA TORTOLA,205 BOSTON POST RD,,WESTON,MA,2493,,,,42.368233,-71.280254
CAPE CHIC,129 FALMOUTH HEIGHTS RD UNIT 31,,FALMOUTH,MA,2540,,,,41.55,-70.6
TREASURE CHEST GIFTS,233 MAIN ST,,FALMOUTH,MA,2540,,,,41.552166,-70.615684
ANDI CAROLE,20 SEA ST,,HYANNIS,MA,2601,,,,41.648405,-70.290582
LA BODEGA,1075 MAIN ST,,BREWSTER,MA,2631,,,,41.753802,-70.109374
CHATHAM T CO. INC,534 MAIN STREET UNIT 1,,CHATHAM,MA,2633,,,,41.68,-69.96
JEWELRY BOUTIQUE MAIN + CHATHAM INC,468 MAIN STREET,,CHATHAM,MA,2633,,,,41.68,-69.96
BJC CLOTHING CORP. DBA:SUNDANCE CLOTING,497 MAIN ST,,CHATHAM,MA,2633,,,,41.68,-69.96
THE RED BARN,48 MAIN STREET,,ORLEANS,MA,2653,,,,41.787204,-69.990407
WARDROBE,213 COMMERCIAL ST,,PROVINCETOWN,MA,2657,,,,42.049121,-70.188728
GINGIES,23 K WHITE PATH,,S. YARMOUTH,MA,2664,,,,41.67,-70.19
MIRROR BOUTIQUE,32 WHITMAN LANE,,NORTH ATTLEBORO,MA,2760,,,,41.980506,-71.316117
DENIS CLOSET,767 MAIN RD,,WESTPORT,MA,2790,,,,41.581697,-71.089876
